Date,Id,suburb,postalCode,sellPrice,bed,bath,car,propType
2016-05-07,309,Avalon Beach,2107,1545000,4.0,2,2.0,house
2016-05-06,310,Avalon Beach,2107,1360000,3.0,2,2.0,house
2016-05-04,311,Avalon Beach,2107,1625000,4.0,3,2.0,house
2016-05-04,312,Bilgola Plateau,2107,1365000,4.0,3,2.0,house
2016-05-03,313,Bilgola Beach,2107,2954000,3.0,2,2.0,house
2016-05-02,314,Avalon Beach,2107,1350000,4.0,2,4.0,townhouse
2016-04-29,315,Clareville,2107,2450000,6.0,4,2.0,house
2016-04-29,316,Whale Beach,2107,2100000,3.0,1,1.0,house
2016-04-29,317,Avalon Beach,2107,1575000,4.0,3,2.0,house
2016-04-18,318,Avalon Beach,2107,3775000,4.0,4,2.0,house
2016-04-14,319,Avalon Beach,2107,1700000,3.0,2,2.0,house
2016-04-13,320,Avalon Beach,2107,1920000,4.0,3,2.0,house
2016-04-13,321,Avalon Beach,2107,1825000,5.0,3,2.0,house
2016-04-08,322,Avalon Beach,2107,1640000,4.0,2,2.0,house
2016-04-07,323,Avalon Beach,2107,1435000,4.0,3,2.0,house
2016-03-31,324,Avalon Beach,2107,2000000,4.0,2,2.0,house
2016-03-29,325,Avalon Beach,2107,2500000,4.0,3,2.0,house
2016-03-29,326,Avalon Beach,2107,1430000,2.0,1,2.0,house
2016-03-28,327,Avalon Beach,2107,1150000,2.0,1,1.0,house
2016-03-25,328,Avalon Beach,2107,2085000,4.0,3,2.0,house
2016-03-19,329,Avalon Beach,2107,2055000,5.0,3,2.0,house
2016-03-19,330,Bilgola Plateau,2107,1770000,4.0,2,3.0,house
2016-03-11,331,Avalon Beach,2107,1400000,4.0,1,1.0,house
2016-03-09,332,Avalon Beach,2107,3150000,4.0,4,5.0,house
2016-03-04,333,Bilgola Plateau,2107,1285000,4.0,3,3.0,house
2016-03-02,334,Avalon Beach,2107,3000000,5.0,3,2.0,house
2016-03-02,335,Bilgola Plateau,2107,1720000,4.0,2,2.0,house
2016-02-27,336,Bilgola Plateau,2107,1200000,4.0,2,3.0,house
2016-02-26,337,Avalon Beach,2107,1440000,5.0,3,3.0,house
2016-02-20,338,Avalon Beach,2107,1300000,4.0,3,2.0,house
2016-02-16,339,Avalon Beach,2107,1030000,3.0,1,4.0,house
2016-02-12,340,Bilgola Plateau,2107,1650000,3.0,3,2.0,house
2016-02-12,341,Bilgola Plateau,2107,1550000,4.0,2,2.0,house
